time;V(/VoutN)1;V(/VoutP)1;V(/BiasOut)1;a
0,0034028;-0,47502;0,450865;0,0289229;
0,0034128;-0,471821;0,447744;0,0287225;
0,0034228;-0,4686;0,444601;0,0285205;
0,0034328;-0,465357;0,441436;0,0283171;
0,0034428;-0,462092;0,438249;0,0281121;
0,0034528;-0,458805;0,435041;0,0279057;
0,0034628;-0,455497;0,431812;0,0276978;
0,0034728;-0,452168;0,428561;0,0274883;
0,0034828;-0,448818;0,42529;0,0272774;
0,0034928;-0,445447;0,421997;0,0270651;
0,0035028;-0,442055;0,418684;0,0268513;
0,0035128;-0,438642;0,415351;0,0266361;
0,0035228;-0,435209;0,411997;0,0264194;
0,0035328;-0,431756;0,408623;0,0262013;
0,0035428;-0,428283;0,405229;0,0259818;
0,0035528;-0,424789;0,401815;0,0257609;
0,0035628;-0,421276;0,398381;0,0255387;
0,0035728;-0,417743;0,394928;0,025315;
0,0035828;-0,414191;0,391456;0,02509;
0,0035928;-0,41062;0,387964;0,0248636;
0,0036028;-0,407029;0,384453;0,0246359;
0,0036128;-0,40342;0,380923;0,0244068;
0,0036228;-0,399792;0,377375;0,0241764;
0,0036328;-0,396145;0,373808;0,0239448;
0,0036428;-0,39248;0,370223;0,0237118;
0,0036528;-0,388796;0,366619;0,0234775;
0,0036628;-0,385095;0,362998;0,0232419;
0,0036728;-0,381375;0,359358;0,0230051;
0,0036828;-0,377638;0,355701;0,022767;
0,0036928;-0,373883;0,352027;0,0225276;
0,0037028;-0,370111;0,348335;0,022287;
0,0037128;-0,366322;0,344626;0,0220452;
0,0037228;-0,362516;0,3409;0,0218022;
0,0037328;-0,358693;0,337157;0,021558;
0,0037428;-0,354854;0,333397;0,0213126;
0,0037528;-0,350998;0,329622;0,021066;
0,0037628;-0,347125;0,325829;0,0208183;
0,0037728;-0,343237;0,322021;0,0205694;
0,0037828;-0,339333;0,318197;0,0203193;
0,0037928;-0,335413;0,314357;0,0200681;
0,0038028;-0,331477;0,310502;0,0198158;
0,0038128;-0,327527;0,306631;0,0195624;
0,0038228;-0,323561;0,302746;0,0193079;
0,0038328;-0,31958;0,298845;0,0190523;
0,0038428;-0,315584;0,294929;0,0187957;
0,0038528;-0,311574;0,290999;0,018538;
0,0038628;-0,30755;0,287055;0,0182792;
0,0038728;-0,303511;0,283096;0,0180194;
0,0038828;-0,299458;0,279123;0,0177586;
0,0038928;-0,295392;0,275136;0,0174967;
0,0039028;-0,291311;0,271136;0,0172339;
0,0039128;-0,287218;0,267122;0,0169701;
0,0039228;-0,283111;0,263095;0,0167053;
0,0039328;-0,278992;0,259055;0,0164395;
0,0039428;-0,274859;0,255002;0,0161728;
