time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1
0,042603;-0,0607504;0,587384;-0,607366
0,042703;-0,0621544;0,603576;-0,623559
0,042803;-0,0633301;0,616838;-0,636823
0,042903;-0,0642725;0,627107;-0,647094
0,043003;-0,0649778;0,634334;-0,654322
0,043103;-0,0654434;0,638484;-0,658474
0,043203;-0,0656675;0,639537;-0,65953
0,043303;-0,0656497;0,637489;-0,657484
0,043403;-0,0653906;0,63235;-0,652346
0,043503;-0,0648922;0,624143;-0,644141
0,043603;-0,0641571;0,612908;-0,632908
0,043703;-0,0631894;0,598698;-0,618701
0,043803;-0,0619942;0,581583;-0,601587
0,043903;-0,0605776;0,561642;-0,581648
0,044003;-0,0589466;0,538972;-0,55898
0,044103;-0,0571097;0,51368;-0,53369
0,044203;-0,0550756;0,485888;-0,5059
0,044303;-0,0528545;0,455728;-0,475741
0,044403;-0,0504573;0,423344;-0,443359
0,044503;-0,0478955;0,388891;-0,408908
0,044603;-0,0451817;0,352534;-0,372551
0,044703;-0,0423289;0,314445;-0,334464
0,044803;-0,0393509;0,274807;-0,294827
0,044903;-0,036262;0,233809;-0,25383
0,045003;-0,0330769;0,191647;-0,211669
0,045103;-0,029811;0,148522;-0,168545
0,045203;-0,0264798;0,10464;-0,124664
0,045303;-0,0230992;0,0602107;-0,0802355
0,045403;-0,0196851;0,0154462;-0,0354715
0,045503;-0,016254;-0,0294399;0,00941416
0,045603;-0,0128218;-0,0742331;0,0542071
0,045703;-0,00940499;-0,11872;0,0986935
0,045803;-0,00601947;-0,162687;0,142661
0,045903;-0,0026813;-0,205925;0,185899
0,046003;0,00059397;-0,248228;0,228202
0,046103;0,00379089;-0,289393;0,269368
0,046203;0,00689468;-0,329224;0,309199
0,046303;0,00989074;-0,367531;0,347507
0,046403;0,0127653;-0,404131;0,384107
0,046503;0,015505;-0,438849;0,418826
0,046603;0,0180972;-0,471518;0,451497
0,046703;0,0205301;-0,501985;0,481964
0,046803;0,0227926;-0,530101;0,510082
0,046903;0,0248743;-0,555735;0,535717
0,047003;0,0267661;-0,578762;0,558746
0,047103;0,0284594;-0,599074;0,579059
0,047203;0,0299468;-0,616573;0,596559
0,047303;0,0312218;-0,631176;0,611163
0,047403;0,0322791;-0,642812;0,622801
0,047503;0,0331143;-0,651427;0,631418
0,047603;0,0337242;-0,656979;0,636971
0,047703;0,0341066;-0,659441;0,639436
0,047803;0,0342606;-0,658803;0,638799
0,047903;0,0341861;-0,655067;0,635065
0,048003;0,0338844;-0,64825;0,62825
0,048103;0,0333577;-0,638386;0,618387
0,048203;0,0326095;-0,625521;0,605524
0,048303;0,0316441;-0,609717;0,589722
0,048403;0,0304673;-0,591049;0,571056
0,048503;0,0290853;-0,569607;0,549616
0,048603;0,027506;-0,545493;0,525504
0,048703;0,0257376;-0,518822;0,498834
0,048803;0,0237896;-0,489721;0,469735
0,048903;0,0216724;-0,45833;0,438345
0,049003;0,0193971;-0,424797;0,404814
0,049103;0,0169754;-0,389285;0,369303
0,049203;0,0144201;-0,351961;0,33198
0,049303;0,0117442;-0,313004;0,293024
0,049403;0,00896174;-0,2726;0,252622
0,049503;0,00608692;-0,230943;0,210965
0,049603;0,00313462;-0,18823;0,168254
0,049703;0,000119876;-0,144667;0,124691
0,049803;-0,00294173;-0,10046;0,0804849
0,049903;-0,00603462;-0,0558215;0,0358468
0,050003;-0,00914286;-0,0109642;-0,00901014
0,050103;-0,0122506;0,0338978;-0,0538719
0,050203;-0,0153419;0,0785501;-0,0985241
0,050303;-0,018401;0,12278;-0,142754
0,050403;-0,0214121;0,166375;-0,186349
0,050503;-0,0243599;0,209128;-0,229103
0,050603;-0,0272291;0,250835;-0,27081
0,050703;-0,0300051;0,291297;-0,311272
0,050803;-0,0326734;0,33032;-0,350296
0,050903;-0,0352205;0,367717;-0,387694
0,051003;-0,037633;0,403311;-0,423289
0,051103;-0,0398984;0,436932;-0,456911
0,051203;-0,0420048;0,468419;-0,488398
0,051303;-0,0439413;0,497621;-0,517602
0,051403;-0,0456975;0,524399;-0,544381
0,051503;-0,0472641;0,548625;-0,568609
0,051603;-0,0486327;0,570184;-0,590169
0,051703;-0,0497958;0,588973;-0,608959
0,051803;-0,0507468;0,604901;-0,62489
0,051903;-0,0514804;0,617894;-0,637884
0,052003;-0,0519921;0,627888;-0,647879
0,052103;-0,0522787;0,634836;-0,65483
0,052203;-0,0523378;0,638705;-0,658701
0,052303;-0,0521683;0,639477;-0,659474
0,052403;-0,0517703;0,637147;-0,657146
0,052503;-0,0511449;0,631728;-0,651728
0,052603;-0,0502943;0,623244;-0,643246
0,052703;-0,0492217;0,611736;-0,63174
0,052803;-0,0479316;0,597259;-0,617266
0,052903;-0,0464295;0,579883;-0,599891
0,053003;-0,0447217;0,55969;-0,5797
0,053103;-0,042816;0,536777;-0,556789
0,053203;-0,0407206;0,511253;-0,531267
0,053303;-0,0384452;0,48324;-0,503255
0,053403;-0,0359998;0,452872;-0,472889
0,053503;-0,0333957;0,420294;-0,440312
0,053603;-0,0306449;0,385661;-0,40568
0,053703;-0,0277599;0,349139;-0,369159
0,053803;-0,0247541;0,310901;-0,330923
0,053903;-0,0216414;0,271132;-0,291155
0,054003;-0,0184364;0,23002;-0,250044
0,054103;-0,0151539;0,187762;-0,207787
0,054203;-0,0118094;0,14456;-0,164585
0,054303;-0,00841847;0,100619;-0,120646
0,054403;-0,00499707;0,0561509;-0,0761777
0,054503;-0,00156135;0,0113665;-0,0313937
0,054603;0,00187251;-0,0335199;0,0134924
0,054703;0,00528824;-0,078294;0,0582664
0,054803;0,00866969;-0,122742;0,102714
0,054903;0,0120007;-0,166652;0,146624
0,055003;0,0152656;-0,209813;0,189786
0,055103;0,0184487;-0,252021;0,231994
0,055203;0,0215348;-0,293073;0,273046
0,055303;0,0245091;-0,332773;0,312747
0,055403;0,0273574;-0,370932;0,350907
0,055503;0,0300659;-0,407368;0,387344
0,055603;0,0326216;-0,441906;0,421883
0,055703;0,035012;-0,474381;0,45436
0,055803;0,0372256;-0,50464;0,484619
0,055903;0,0392515;-0,532536;0,512517
0,056003;0,0410799;-0,557938;0,53792
0,056103;0,0427015;-0,580723;0,560706
0,056203;0,0441084;-0,600782;0,580768
0,056303;0,0452935;-0,618021;0,598008
0,056403;0,0462507;-0,632357;0,612345
0,056503;0,0469749;-0,64372;0,623711
0,056603;0,0474624;-0,652058;0,63205
0,056703;0,0477101;-0,65733;0,637324
0,056803;0,0477166;-0,659511;0,639507
0,056903;0,047481;-0,65859;0,638588
0,057003;0,0470041;-0,654573;0,634573
0,057103;0,0462874;-0,647477;0,62748
0,057203;0,0453338;-0,637338;0,617342
0,057303;0,044147;-0,624203;0,604209
0,057403;0,0427322;-0,608136;0,588144
0,057503;0,0410954;-0,589212;0,569222
0,057603;0,0392435;-0,567522;0,547534
0,057703;0,0371848;-0,543171;0,523184
0,057803;0,0349282;-0,516273;0,496289
0,057903;0,0324836;-0,486958;0,466975
0,058003;0,0298621;-0,455366;0,435384
0,058103;0,0270751;-0,421647;0,401667
0,058203;0,0241352;-0,385962;0,365984
0,058303;0,0210554;-0,348482;0,328505
0,058403;0,0178496;-0,309386;0,28941
0,058503;0,0145322;-0,26886;0,248886
0,058603;0,0111181;-0,227099;0,207125
0,058703;0,00762254;-0,1843;0,164327
0,058803;0,00406132;-0,140669;0,120698
0,058903;0,000450419;-0,0964147;0,0764435
0,059003;-0,00319389;-0,0517474;0,0317768
0,059103;-0,00685525;-0,00688069;-0,0130894
0,059203;-0,0105172;0,0379711;-0,0579409
0,059303;-0,0141632;0,0825938;-0,102563
0,059403;-0,017777;0,126774;-0,146744
0,059503;-0,0213423;0,170302;-0,190272
0,059603;-0,0248432;0,212968;-0,232938
0,059703;-0,028264;0,25457;-0,274541
0,059803;-0,0315895;0,294909;-0,31488
0,059903;-0,0348048;0,333792;-0,353763
0,060003;-0,0378956;0,371033;-0,391005
