time;V(/VoutN)1;V(/VoutP)1;V(/BiasDrive)1;a
0,00400376;-0,249693;0,22974;0,014226;
0,00401376;-0,245515;0,225561;0,0139119;
0,00402376;-0,241325;0,221372;0,013597;
0,00403376;-0,237125;0,217171;0,0132813;
0,00404376;-0,232913;0,212959;0,0129649;
0,00405376;-0,228691;0,208737;0,0126478;
0,00406376;-0,224459;0,204504;0,0123299;
0,00407376;-0,220216;0,200261;0,0120112;
0,00408376;-0,215963;0,196008;0,0116919;
0,00409376;-0,211701;0,191745;0,0113719;
0,00410376;-0,207429;0,187473;0,0110512;
0,00411376;-0,203147;0,183191;0,0107299;
0,00412376;-0,198856;0,1789;0,0104079;
0,00413376;-0,194556;0,1746;0,0100853;
0,00414376;-0,190248;0,170291;0,00976204;
0,00415376;-0,18593;0,165973;0,00943822;
0,00416376;-0,181605;0,161647;0,00911381;
0,00417376;-0,177271;0,157313;0,00878884;
0,00418376;-0,172929;0,152971;0,00846331;
0,00419376;-0,168579;0,148621;0,00813725;
0,00420376;-0,164222;0,144263;0,00781068;
0,00421376;-0,159857;0,139898;0,00748359;
0,00422376;-0,155485;0,135526;0,00715602;
0,00423376;-0,151107;0,131147;0,00682797;
0,00424376;-0,146721;0,126762;0,00649947;
0,00425376;-0,142329;0,122369;0,00617052;
0,00426376;-0,137931;0,117971;0,00584115;
0,00427376;-0,133526;0,113566;0,00551137;
0,00428376;-0,129116;0,109155;0,00518119;
0,00429376;-0,1247;0,104739;0,00485063;
0,00430376;-0,120278;0,100317;0,0045197;
0,00431376;-0,115852;0,09589;0,00418843;
0,00432376;-0,11142;0,0914579;0,00385683;
0,00433376;-0,106983;0,0870209;0,0035249;
0,00434376;-0,102542;0,0825793;0,00319268;
0,00435376;-0,0980961;0,0781333;0,00286017;
0,00436376;-0,0936461;0,073683;0,0025274;
0,00437376;-0,0891922;0,0692288;0,00219436;
0,00438376;-0,0847344;0,0647707;0,0018611;
0,00439376;-0,0802731;0,0603091;0,0015276;
0,00440376;-0,0758085;0,0558442;0,00119391;
0,00441376;-0,0713407;0,0513761;0,000860018;
0,00442376;-0,0668699;0,0469051;0,000525955;
0,00443376;-0,0623965;0,0424313;0,000191734;
0,00444376;-0,0579205;0,0379551;-0,00014263;
0,00445376;-0,0534423;0,0334765;-0,000477121;
0,00446376;-0,0489619;0,0289959;-0,000811723;
0,00447376;-0,0444798;0,0245134;-0,00114642;
0,00448376;-0,0399959;0,0200293;-0,0014812;
0,00449376;-0,0355107;0,0155437;-0,00181603;
0,00450376;-0,0310242;0,011057;-0,00215092;
0,00451376;-0,0265367;0,00656918;-0,00248584;
0,00452376;-0,0220484;0,0020806;-0,00282077;
0,00453376;-0,0175596;-0,00240855;-0,00315571;
0,00454376;-0,0130703;-0,00689806;-0,00349062;
0,00455376;-0,00858096;-0,0113877;-0,00382551;
0,00456376;-0,00409167;-0,0158773;-0,00416034;
0,00457376;0,000397353;-0,0203666;-0,00449511;
0,00458376;0,00488587;-0,0248555;-0,0048298;
0,00459376;0,00937369;-0,0293436;-0,0051644;
0,00460376;0,0138606;-0,0338307;-0,00549888;
0,00461376;0,0183463;-0,0383168;-0,00583324;
0,00462376;0,0228307;-0,0428015;-0,00616745;
0,00463376;0,0273135;-0,0472846;-0,0065015;
0,00464376;0,0317946;-0,0517659;-0,00683538;
0,00465376;0,0362736;-0,0562453;-0,00716906;
0,00466376;0,0407505;-0,0607224;-0,00750254;
0,00467376;0,0452249;-0,0651971;-0,00783579;
0,00468376;0,0496967;-0,0696692;-0,0081688;
0,00469376;0,0541656;-0,0741384;-0,00850156;
