time;V(/VoutN)1;V(/VoutP)1;
0,0395852;-0,519122;0,513362;
0,0396852;-0,48506;0,490504;
0,0397658;-0,456029;0,470276;
0,039848;-0,425034;0,448058;
0,0399204;-0,396612;0,427211;
0,040001;-0,363905;0,402742;
0,040101;-0,321786;0,370599;
0,040201;-0,278148;0,336669;
0,040301;-0,23317;0,301142;
0,040401;-0,187037;0,26422;
0,040501;-0,139941;0,226106;
0,040601;-0,0920748;0,187014;
0,040701;-0,0436396;0,147159;
0,040801;0,00516309;0,106759;
0,040901;0,054129;0,0660384;
0,041001;0,103053;0,0252187;
0,041101;0,15173;-0,0154763;
0,041201;0,199956;-0,0558243;
0,041301;0,247528;-0,0956047;
0,041401;0,294246;-0,1346;
0,041501;0,339915;-0,172597;
0,041601;0,384344;-0,209388;
0,041701;0,427346;-0,24477;
0,041801;0,468741;-0,278548;
0,041901;0,508359;-0,310537;
0,042001;0,546033;-0,340559;
0,042101;0,581609;-0,368445;
0,042201;0,614941;-0,394039;
0,042301;0,645893;-0,417196;
0,042401;0,674339;-0,437782;
0,042501;0,700165;-0,455677;
0,042601;0,723271;-0,470774;
0,042701;0,743565;-0,48298;
0,042801;0,760972;-0,492217;
0,042901;0,775427;-0,498422;
0,043001;0,78688;-0,501547;
0,043101;0,795295;-0,501558;
0,043201;0,800647;-0,498439;
0,043301;0,802928;-0,492187;
0,043401;0,802143;-0,482818;
0,043501;0,798309;-0,470362;
0,043601;0,79146;-0,454863;
0,043701;0,781641;-0,436383;
0,043801;0,76891;-0,414998;
0,043901;0,753342;-0,390799;
0,044001;0,735019;-0,36389;
0,044101;0,714039;-0,334391;
0,044201;0,690512;-0,302433;
0,044301;0,664557;-0,268162;
0,044401;0,636305;-0,231734;
0,044501;0,605897;-0,193316;
0,044601;0,573484;-0,153088;
0,044701;0,539224;-0,111238;
0,044801;0,503284;-0,0679607;
0,044901;0,465839;-0,0234618;
0,045001;0,427068;0,0220478;
0,045101;0,387157;0,0683513;
0,045201;0,346296;0,115227;
0,045301;0,304679;0,16245;
0,045401;0,262502;0,209793;
0,045501;0,219963;0,257025;
0,045601;0,177262;0,303918;
0,045701;0,134596;0,350242;
0,045801;0,0921645;0,39577;
0,045901;0,0501621;0,440277;
0,046001;0,00878177;0,483544;
0,046101;-0,0317877;0,525354;
0,046201;-0,0713621;0,5655;
0,046301;-0,109763;0,603777;
0,046401;-0,146819;0,639993;
0,046501;-0,182364;0,673962;
0,046601;-0,216243;0,705509;
0,046701;-0,248308;0,734469;
0,046801;-0,278419;0,760689;
0,046901;-0,306449;0,784029;
0,047001;-0,332281;0,80436;
0,047101;-0,355807;0,821569;
0,047201;-0,376934;0,835555;
0,047301;-0,39558;0,846233;
0,047401;-0,411674;0,853533;
0,047501;-0,42516;0,8574;
0,047601;-0,435994;0,857795;
0,047701;-0,444146;0,854693;
0,047801;-0,449599;0,848089;
0,047901;-0,452349;0,837992;
0,048001;-0,452407;0,824425;
0,048101;-0,449796;0,80743;
0,048201;-0,444552;0,787065;
0,048301;-0,436727;0,7634;
0,048401;-0,426381;0,736525;
0,048501;-0,413592;0,706541;
0,048601;-0,398446;0,673565;
0,048701;-0,381041;0,637728;
0,048801;-0,361489;0,599174;
0,048901;-0,339911;0,55806;
0,049001;-0,316436;0,514554;
0,049101;-0,291206;0,468836;
0,049201;-0,264369;0,421096;
0,049301;-0,236082;0,371532;
0,049401;-0,206509;0,320353;
0,049501;-0,17582;0,267773;
0,049601;-0,144192;0,214016;
0,049701;-0,111804;0,159307;
0,049801;-0,0788417;0,103878;
0,049901;-0,0454911;0,0479655;
0,050001;-0,0119414;-0,0081946;
0,050101;0,0216174;-0,0643635;
0,0501973;0,0537648;-0,118238;
0,0502504;0,071348;-0,14776;
0,0503041;0,0890328;-0,177508;
0,0503618;0,107825;-0,209196;
0,0504618;0,139845;-0,263424;
0,0505618;0,171015;-0,316581;
0,0506618;0,201152;-0,368437;
0,0507618;0,230088;-0,41878;
0,0508618;0,257651;-0,467393;
0,0509618;0,283684;-0,514077;
0,0510618;0,308032;-0,558635;
0,0511618;0,330553;-0,600883;
0,0512618;0,351109;-0,640648;
0,0513618;0,369575;-0,677767;
0,0514618;0,385836;-0,71209;
0,0515618;0,399787;-0,74348;
0,0516618;0,411335;-0,771814;
0,0517618;0,4204;-0,796983;
0,0518618;0,426911;-0,818891;
0,0519618;0,430814;-0,83746;
0,0520618;0,432064;-0,852624;
0,0521618;0,430632;-0,864337;
0,0522618;0,426501;-0,872565;
0,0523618;0,419669;-0,877292;
0,0524618;0,410145;-0,878517;
0,0525618;0,397953;-0,876257;
0,0526618;0,383131;-0,870543;
0,0527618;0,365729;-0,861422;
0,0528618;0,345811;-0,848958;
0,0529618;0,323452;-0,833229;
0,0530618;0,298742;-0,814329;
0,0531618;0,271781;-0,792365;
0,0532618;0,242682;-0,767458;
0,0533618;0,211566;-0,739744;
0,0534618;0,178568;-0,709369;
0,0535618;0,143831;-0,676493;
0,0536618;0,107508;-0,641287;
0,0537618;0,0697593;-0,603931;
0,0538618;0,0307535;-0,564615;
0,0539618;-0,00933398;-0,523538;
0,0540618;-0,0503216;-0,480906;
0,0541618;-0,0920229;-0,436931;
0,0542618;-0,134247;-0,391832;
0,0543618;-0,176799;-0,345831;
0,0544618;-0,219483;-0,299155;
0,0545618;-0,2621;-0,252031;
0,0546618;-0,304451;-0,20469;
0,0547618;-0,346337;-0,157361;
0,0548618;-0,387563;-0,110272;
0,0549618;-0,427931;-0,0636511;
0,0550618;-0,46725;-0,0177206;
0,0551618;-0,505333;0,0273001;
0,0552618;-0,541997;0,0711968;
0,0553618;-0,577064;0,113762;
0,0554618;-0,610364;0,154796;
0,0555618;-0,641735;0,194105;
0,0556618;-0,671021;0,231508;
0,0557618;-0,698078;0,26683;
0,0558618;-0,722769;0,299911;
0,0559618;-0,744969;0,3306;
0,0560618;-0,764563;0,358758;
0,0561618;-0,78145;0,384261;
0,0562618;-0,795537;0,406996;
0,0563618;-0,806747;0,426866;
0,0564618;-0,815015;0,443789;
0,0565618;-0,820287;0,457696;
0,0566618;-0,822525;0,468535;
0,0567618;-0,821705;0,476268;
0,0568618;-0,817814;0,480873;
0,0569618;-0,810856;0,482344;
0,0570618;-0,800846;0,480692;
0,0571618;-0,787816;0,475942;
