time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,103882;2,50642;2,49562;2,49701;
0,103892;2,50615;2,49544;2,49682;
0,103902;2,50641;2,49558;2,49697;
0,103912;2,50642;2,49571;2,4971;
0,103922;2,50633;2,49553;2,49691;
0,103932;2,50609;2,49537;2,49676;
0,103942;2,50644;2,4956;2,49699;
0,103952;2,50654;2,49583;2,49721;
0,103962;2,50645;2,49565;2,49704;
0,103972;2,50617;2,49546;2,49685;
0,103982;2,50639;2,49557;2,49695;
0,103992;2,50638;2,49566;2,49705;
0,104002;2,5063;2,4955;2,49688;
0,104012;2,50608;2,49537;2,49675;
0,104022;2,50642;2,49559;2,49697;
0,104032;2,50651;2,4958;2,49718;
0,104042;2,50642;2,49562;2,49701;
0,104052;2,50615;2,49544;2,49682;
0,104062;2,50641;2,49558;2,49696;
0,104072;2,50642;2,49571;2,49709;
0,104082;2,50633;2,49553;2,49691;
0,104092;2,50609;2,49537;2,49675;
0,104102;2,50644;2,49561;2,49699;
0,104112;2,50654;2,49583;2,49721;
0,104122;2,50645;2,49565;2,49703;
0,104132;2,50617;2,49546;2,49684;
0,104142;2,50639;2,49557;2,49695;
0,104152;2,50638;2,49567;2,49704;
0,104162;2,5063;2,4955;2,49688;
0,104172;2,50608;2,49537;2,49675;
0,104182;2,50642;2,49559;2,49697;
0,104192;2,50651;2,4958;2,49718;
0,104202;2,50642;2,49563;2,497;
0,104212;2,50615;2,49544;2,49682;
0,104222;2,50641;2,49558;2,49696;
0,104232;2,50642;2,49572;2,49709;
0,104242;2,50633;2,49553;2,49691;
0,104252;2,50609;2,49538;2,49675;
0,104262;2,50644;2,49561;2,49698;
0,104272;2,50654;2,49583;2,4972;
0,104282;2,50645;2,49566;2,49703;
0,104292;2,50617;2,49547;2,49684;
0,104302;2,50639;2,49557;2,49694;
0,104312;2,50638;2,49567;2,49704;
0,104322;2,5063;2,49551;2,49688;
0,104332;2,50608;2,49538;2,49674;
0,104342;2,50642;2,4956;2,49696;
0,104352;2,50651;2,49581;2,49717;
0,104362;2,50642;2,49563;2,497;
0,104372;2,50615;2,49545;2,49681;
0,104382;2,50641;2,49559;2,49695;
0,104392;2,50642;2,49572;2,49708;
0,104402;2,50633;2,49554;2,4969;
0,104412;2,50609;2,49538;2,49674;
0,104422;2,50644;2,49561;2,49698;
0,104432;2,50654;2,49584;2,4972;
0,104442;2,50645;2,49566;2,49702;
0,104452;2,50617;2,49547;2,49683;
0,104462;2,50639;2,49558;2,49694;
0,104472;2,50638;2,49568;2,49703;
0,104482;2,5063;2,49551;2,49687;
0,104492;2,50608;2,49538;2,49674;
0,104502;2,50642;2,4956;2,49696;
0,104512;2,50651;2,49581;2,49717;
0,104522;2,50642;2,49564;2,49699;
0,104532;2,50615;2,49545;2,49681;
0,104542;2,50641;2,49559;2,49695;
0,104552;2,50642;2,49573;2,49708;
0,104562;2,50633;2,49554;2,49689;
0,104572;2,50609;2,49539;2,49674;
0,104582;2,50644;2,49562;2,49697;
0,104592;2,50654;2,49584;2,49719;
0,104602;2,50645;2,49567;2,49702;
0,104612;2,50617;2,49548;2,49682;
0,104622;2,50639;2,49558;2,49693;
0,104632;2,50638;2,49568;2,49703;
0,104642;2,5063;2,49552;2,49686;
0,104652;2,50608;2,49539;2,49673;
0,104662;2,50642;2,49561;2,49695;
0,104672;2,50651;2,49582;2,49716;
0,104682;2,50642;2,49564;2,49698;
0,104692;2,50615;2,49546;2,4968;
0,104702;2,50641;2,4956;2,49694;
0,104712;2,50642;2,49573;2,49707;
0,104722;2,50633;2,49555;2,49689;
0,104732;2,50609;2,49539;2,49673;
0,104742;2,50644;2,49563;2,49696;
0,104752;2,50654;2,49585;2,49718;
0,104762;2,50645;2,49567;2,49701;
0,104772;2,50617;2,49548;2,49682;
0,104782;2,50639;2,49559;2,49692;
0,104792;2,50638;2,49569;2,49702;
0,104802;2,5063;2,49552;2,49686;
0,104812;2,50608;2,49539;2,49672;
0,104822;2,50642;2,49561;2,49694;
0,104832;2,50651;2,49582;2,49715;
0,104842;2,50642;2,49565;2,49698;
0,104852;2,50615;2,49546;2,49679;
0,104862;2,50641;2,49561;2,49693;
0,104872;2,50642;2,49574;2,49706;
0,104882;2,50633;2,49556;2,49688;
0,104892;2,50609;2,4954;2,49672;
0,104902;2,50644;2,49563;2,49695;
0,104912;2,50654;2,49586;2,49718;
0,104922;2,50645;2,49568;2,497;
0,104932;2,50617;2,49549;2,49681;
0,104942;2,50639;2,4956;2,49692;
0,104952;2,50638;2,4957;2,49701;
0,104962;2,5063;2,49553;2,49685;
0,104972;2,50608;2,4954;2,49672;
0,104982;2,50642;2,49562;2,49694;
0,104992;2,50651;2,49583;2,49714;
0,105002;2,50642;2,49566;2,49697;
0,105012;2,50615;2,49547;2,49678;
0,105022;2,50641;2,49561;2,49692;
0,105032;2,50642;2,49574;2,49705;
0,105042;2,50633;2,49556;2,49687;
0,105052;2,50609;2,49541;2,49672;
0,105062;2,50644;2,49564;2,49695;
0,105072;2,50654;2,49586;2,49717;
0,105082;2,50645;2,49569;2,49699;
0,105092;2,50617;2,4955;2,4968;
0,105102;2,50639;2,4956;2,49691;
0,105112;2,50638;2,4957;2,497;
0,105122;2,5063;2,49554;2,49684;
0,105132;2,50608;2,49541;2,49671;
0,105142;2,50642;2,49563;2,49693;
0,105152;2,50651;2,49584;2,49714;
0,105162;2,50642;2,49566;2,49696;
0,105172;2,50615;2,49548;2,49677;
0,105182;2,50641;2,49562;2,49691;
0,105192;2,50642;2,49575;2,49705;
0,105202;2,50633;2,49557;2,49686;
0,105212;2,50609;2,49542;2,49671;
0,105222;2,50644;2,49565;2,49694;
0,105232;2,50654;2,49587;2,49716;
0,105242;2,50645;2,4957;2,49698;
0,105252;2,50617;2,49551;2,49679;
0,105262;2,50639;2,49561;2,4969;
0,105272;2,50638;2,49571;2,497;
0,105282;2,5063;2,49555;2,49683;
0,105292;2,50608;2,49542;2,4967;
0,105302;2,50642;2,49564;2,49692;
0,105312;2,50651;2,49585;2,49713;
0,105322;2,50642;2,49567;2,49695;
0,105332;2,50615;2,49549;2,49677;
0,105342;2,5064;2,49563;2,49691;
0,105352;2,50642;2,49576;2,49704;
0,105362;2,50633;2,49558;2,49685;
0,105372;2,50609;2,49542;2,4967;
0,105382;2,50644;2,49566;2,49693;
0,105392;2,50654;2,49588;2,49715;
0,105402;2,50645;2,4957;2,49697;
0,105412;2,50617;2,49551;2,49678;
0,105422;2,50639;2,49562;2,49689;
0,105432;2,50638;2,49572;2,49699;
0,105442;2,5063;2,49556;2,49682;
0,105452;2,50608;2,49543;2,49669;
0,105462;2,50642;2,49564;2,49691;
0,105472;2,50651;2,49585;2,49712;
0,105482;2,50642;2,49568;2,49694;
