time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,105084;2,50619;2,5079;2,5079;
0,105094;2,50631;2,5079;2,5079;
0,105104;2,50624;2,5079;2,5079;
0,105114;2,50627;2,5079;2,5079;
0,105124;2,50617;2,5079;2,5079;
0,105134;2,50636;2,5079;2,5079;
0,105144;2,50635;2,5079;2,5079;
0,105154;2,50627;2,5079;2,5079;
0,105164;2,50612;2,5079;2,5079;
0,105174;2,50644;2,5079;2,5079;
0,105184;2,50653;2,5079;2,5079;
0,105194;2,50643;2,5079;2,5079;
0,105204;2,50617;2,5079;2,5079;
0,105214;2,50627;2,5079;2,5079;
0,105224;2,5062;2,5079;2,5079;
0,105234;2,50629;2,5079;2,5079;
0,105244;2,50621;2,5079;2,5079;
0,105254;2,5063;2,5079;2,5079;
0,105264;2,50621;2,5079;2,5079;
0,105274;2,5063;2,5079;2,5079;
0,105284;2,50622;2,5079;2,5079;
0,105294;2,5063;2,5079;2,5079;
0,105304;2,50621;2,5079;2,5079;
0,105314;2,5063;2,5079;2,5079;
0,105324;2,50622;2,5079;2,5079;
0,105334;2,50629;2,5079;2,5079;
0,105344;2,50619;2,5079;2,5079;
0,105354;2,50632;2,5079;2,5079;
0,105364;2,50626;2,5079;2,5079;
0,105374;2,50627;2,5079;2,5079;
0,105384;2,50615;2,5079;2,5079;
0,105394;2,5064;2,5079;2,5079;
0,105404;2,50642;2,5079;2,5079;
0,105414;2,50631;2,50789;2,50789;
0,105424;2,50612;2,50789;2,50789;
0,105434;2,50627;2,50789;2,50789;
0,105444;2,50623;2,50789;2,50789;
0,105454;2,50627;2,50789;2,50789;
0,105464;2,50616;2,50789;2,50789;
0,105474;2,50636;2,50789;2,50789;
0,105484;2,50634;2,50789;2,50789;
0,105494;2,50627;2,50789;2,50789;
0,105504;2,50612;2,50789;2,50789;
0,105514;2,50626;2,50789;2,50789;
0,105524;2,50622;2,50789;2,50789;
0,105534;2,50627;2,50789;2,50789;
0,105544;2,50617;2,50789;2,50789;
0,105554;2,50635;2,50789;2,50789;
0,105564;2,50632;2,50789;2,50789;
0,105574;2,50626;2,50789;2,50789;
0,105584;2,50612;2,50789;2,50789;
0,105594;2,50649;2,50789;2,50789;
0,105604;2,50662;2,50789;2,50789;
0,105614;2,50652;2,50789;2,50789;
0,105624;2,50625;2,50789;2,50789;
0,105634;2,50634;2,50789;2,50789;
0,105644;2,50625;2,50789;2,50789;
0,105654;2,50629;2,50789;2,50789;
0,105664;2,50618;2,50789;2,50789;
0,105674;2,50635;2,50789;2,50789;
0,105684;2,50632;2,50789;2,50789;
0,105694;2,50626;2,50789;2,50789;
0,105704;2,50612;2,50789;2,50789;
0,105714;2,50649;2,50789;2,50789;
0,105724;2,50662;2,50789;2,50789;
0,105734;2,50652;2,50789;2,50789;
0,105744;2,50624;2,50789;2,50789;
0,105754;2,50628;2,50789;2,50789;
0,105764;2,50617;2,50789;2,50789;
0,105774;2,50636;2,50789;2,50789;
0,105784;2,50635;2,50789;2,50789;
0,105794;2,50627;2,50788;2,50788;
0,105804;2,50612;2,50788;2,50788;
0,105814;2,50654;2,50788;2,50788;
0,105824;2,50671;2,50788;2,50788;
0,105834;2,50664;2,50788;2,50788;
0,105844;2,50636;2,50788;2,50788;
0,105854;2,50634;2,50788;2,50788;
0,105864;2,50617;2,50788;2,50788;
0,105874;2,50644;2,50788;2,50788;
0,105884;2,50648;2,50788;2,50788;
0,105894;2,50635;2,50788;2,50788;
0,105904;2,50613;2,50788;2,50788;
0,105914;2,50629;2,50788;2,50788;
0,105924;2,50627;2,50788;2,50788;
0,105934;2,50626;2,50788;2,50788;
0,105944;2,50614;2,50788;2,50788;
0,105954;2,50642;2,50788;2,50788;
0,105964;2,50647;2,50788;2,50788;
0,105974;2,50635;2,50788;2,50788;
0,105984;2,50613;2,50788;2,50788;
0,105994;2,50628;2,50788;2,50788;
